CPU_Cores,RAM_GB,GPU_Available,GPU_VRAM_GB,Disk_Speed_MBps,Dataset_Size_MB,Num_Features,Model_Complexity,CV_Folds,Training_Time_Seconds
8,21,0,0,1494.3867080707612,5397,279,4.473928064980885,5,125.47918445060368
21,50,1,7,1283.0760098444418,3757,371,6.522171257495926,3,27.255135729971308
30,73,0,0,1020.4955163169799,5209,154,8.76007360316191,6,115.0370689798929
16,60,1,15,435.4052977000713,372,598,9.104245847533122,9,74.36981545758698
12,96,1,17,1625.9772596993348,2995,138,1.2836496441654868,9,3.4714735125713787
9,22,1,15,619.0165483819961,3195,384,2.1015870254287803,7,25.529320334564844
30,100,0,0,1658.9102551576282,1706,514,1.0406264313508702,8,40.528751718168124
22,68,0,0,1262.0572193104877,2547,632,5.431979641238389,3,80.48110167500707
8,112,1,15,808.1897131026961,6596,10,4.927518347322369,4,45.495268134221035
27,6,1,5,177.14992172398385,1424,376,5.9122149561254425,5,10.785577143193379
20,45,1,17,541.5958042543161,4002,547,7.152820587705489,4,49.33977307239527
24,24,1,14,1789.2347584275115,7310,637,4.292053677441124,8,77.5900006239684
12,102,1,12,1654.1512534018632,3222,504,2.8771954188701083,3,11.812286035290253
12,108,1,10,1192.221294574786,4966,183,4.553383405470939,8,56.21199117031956
25,43,1,15,986.0126815280412,1829,534,1.0810990061813652,8,1.0
22,70,1,20,1329.5710907272073,5454,43,8.465020091700335,9,56.0318530571272
5,28,1,12,985.8714429022729,4685,327,4.453536697722491,6,59.876784063192964
9,112,0,0,1324.1791973663665,2822,753,6.605095082038297,7,148.95688313030638
25,105,0,0,684.0677893543001,4776,594,3.92253060255791,3,81.1396935354576
4,112,1,23,1693.1447140318028,2994,572,6.53331149955983,6,69.6920658599868
23,58,0,0,1433.6439975840067,7748,220,5.8639185422984195,8,145.64706907516492
22,87,1,12,726.9536940126144,2061,736,2.8770339689709594,9,20.5251120063658
3,55,1,15,1678.2656181645384,6668,562,6.6279162236011295,3,91.6058742125452
25,47,1,4,1025.9508086210399,4962,320,1.9866017742052784,9,19.841177899629706
13,112,1,5,431.81384300117685,2775,933,5.32977262145519,8,88.66820028632083
31,101,0,0,247.65367780670064,2039,103,7.478902530903629,6,69.84842281463578
7,88,0,0,1429.2509205107187,113,198,5.941564496493938,4,84.0162757326258
3,59,1,19,1743.7295279952202,845,656,7.716439607089229,6,62.09971255580822
29,58,0,0,1634.139778329633,8262,727,3.458463289256602,7,132.4034722200798
22,115,1,21,1345.7369574220886,4670,523,1.4393667699145816,4,1.0
2,90,1,21,368.6126056490593,7809,213,1.5037333987274173,9,68.07160321817435
13,73,1,16,278.6837443556417,3046,500,3.418529367928434,5,25.230835758418657
27,118,1,15,755.5562837222782,3282,762,4.669003829314818,4,9.05280283131254
23,120,1,12,1724.3306917576606,3586,779,5.83754684838209,4,30.728929462273086
30,80,1,8,1927.298913582662,6664,677,7.818951652641509,5,86.04320817923521
13,116,0,0,558.5856242094353,4606,63,8.556485351432865,4,131.40473327497742
26,90,1,16,1547.981774105268,4178,485,7.243128765076826,4,24.928026076973868
18,76,1,19,1190.3515121236908,2007,981,5.16888059250415,8,42.56487622885028
28,84,1,13,160.4339974480912,4091,103,3.3803831428458224,5,1.0
28,69,0,0,1131.5410648725856,1747,323,4.85022092386534,8,72.97477283453678
11,22,0,0,1631.2867656797748,4876,952,3.4605653672154926,5,130.44422868916854
29,86,1,5,624.6332883536504,2763,582,6.620163524838951,7,41.71648262250898
29,123,1,22,1804.9870855438758,8227,369,8.363861744454171,4,55.319501095320376
17,10,1,14,548.8947730618102,1982,177,5.663698692223097,4,3.2920156023965292
16,121,1,22,245.29895202370318,428,991,1.4125552719333387,4,1.0
31,66,1,14,403.88468793517166,4467,795,9.457737651248442,7,92.26814326955696
31,45,0,0,1690.3054505697448,4817,407,3.6485561062212986,8,80.444098571205
16,45,1,18,892.8812461751038,9979,546,9.230593046669348,9,161.03629087076072
31,62,1,10,1614.1965708811497,5700,403,8.317614722742894,4,57.620845579978955
20,23,1,18,1109.3428158802308,2266,365,4.718126019783693,5,1.0
13,76,1,11,1013.0623371094197,481,57,1.5103339046573094,5,1.0
24,20,1,7,1633.1349878356841,9725,441,9.529335139805262,5,122.61517063227717
21,30,1,21,904.6264622535142,4244,710,6.93148300472349,5,49.53216068105023
26,50,0,0,1623.8621890260997,3981,62,3.246885843304519,9,73.53252908844536
4,5,1,21,291.25811343054664,8208,250,5.801825830919948,8,102.18330901243306
6,66,1,7,1308.9905495245873,6847,914,6.718334579889027,8,144.44190952038696
20,65,1,5,1434.915407448771,2299,404,3.0399339443021995,8,25.422869552190406
8,103,1,9,1808.285052669311,3632,36,1.8418644985304977,6,8.209376225381439
22,22,0,0,526.2154455607704,2829,68,3.4071899125119667,5,44.51245914666204
10,20,0,0,1248.017772176418,8887,195,1.4284240143546327,7,123.62605191547038
8,72,1,18,923.1874710095238,8138,150,1.6298785922037333,8,53.58033003313689
19,42,1,15,827.2661455336552,4010,970,2.4092653914393067,8,41.95422471544948
5,85,1,21,302.7557549027192,3596,916,2.4256573358329394,6,43.37051080322398
26,120,1,8,355.04332813039025,7602,66,3.2315642643998483,8,46.24634928957174
29,121,1,14,1690.2780767505278,3900,716,9.43686308970036,9,95.02377357181734
15,126,0,0,1524.5315214185678,8262,459,6.182380205869625,4,160.16909862401877
19,74,1,4,826.448147553091,2736,887,4.802546619461204,5,54.99935406221693
27,84,1,20,1674.1245046402985,2923,115,6.074197017211067,8,1.0
10,42,1,11,253.45575116479904,1592,289,1.0514039786227412,4,1.0
27,39,0,0,1287.0704423630204,3416,477,9.052722187428992,5,122.16458158417691
22,43,1,14,1749.534500157148,6875,442,5.790818269485506,5,59.4224554097353
3,48,0,0,1693.842038959374,4002,689,5.064855985260112,8,158.62940819601573
21,7,1,14,808.2872438895337,5037,856,9.474417454425682,9,116.77606233050918
29,105,1,18,1515.9443208082791,7517,767,7.573672760353425,6,85.94930675464705
16,28,0,0,912.1894764877674,4684,975,4.036787560380608,5,135.59508611955974
29,72,1,17,1696.2625123409039,6494,349,9.425417333112504,5,76.39546775848702
8,33,1,4,1108.4477052945438,8272,735,8.66797862494195,3,150.25813179841356
13,79,0,0,1553.228393299578,6557,523,9.590803563787045,9,213.5119154525383
30,71,0,0,249.28600635417627,3396,959,1.8660154367017088,9,81.1550859954007
9,91,1,21,1221.0493460568393,5884,408,9.597564004484342,7,114.75509695437741
16,32,1,15,1145.5399371917435,7323,825,5.885945549843997,9,114.42202238836896
4,76,1,5,1258.9557712968042,9815,875,7.0499357163312,7,179.7485917536581
15,71,1,21,1421.7190550396213,8264,191,2.910150097154574,4,41.99318212474091
18,54,1,10,1844.4070430648696,5660,311,2.26361341046766,4,13.265465747156963
5,27,1,23,1592.795955374459,1074,962,1.7144874781840125,6,11.252310221169912
19,17,1,15,517.312183726319,6376,192,4.800817829302503,4,29.087005194087688
9,72,0,0,1669.2029116549825,6324,965,2.9921452266332667,9,171.810211243144
5,21,1,17,331.9513874686817,6593,519,1.7346061782969984,3,45.800760193196155
3,45,1,13,1282.1773127826323,1770,104,9.595595763358222,4,58.882844440966196
31,60,0,0,1777.2322356672921,7218,423,7.6005220892278365,5,136.49650596399962
7,86,0,0,292.1319030083175,8284,165,5.6606905738035715,4,155.72813979405896
23,15,0,0,1714.416041289495,5271,701,7.690127345267587,8,152.3233304277842
11,85,1,13,1617.3793950374666,6737,106,6.503123550678401,4,74.57222871964422
5,20,1,22,1057.1733242942346,4905,946,2.602293344922557,5,56.775594821444756
23,33,1,22,686.9054443612678,6861,378,6.7009279961855635,3,44.820730656254604
30,91,0,0,870.3326333359333,2903,798,7.12911041977184,7,105.72375263226081
19,78,0,0,1940.4504578304022,9823,247,3.137237552417674,3,128.2145825520491
27,102,1,12,483.2253566885081,3916,864,3.8813018255108855,3,24.955491755447277
13,26,1,23,1201.248146876801,5233,819,4.449705937834236,6,57.726742604111145
3,84,0,0,258.1574209694993,4179,22,6.4229197571221395,6,127.76046055671715
11,4,1,4,513.9968219594272,8175,310,2.141271838507308,9,73.93197178535998
31,82,1,19,1550.301137341589,8873,867,7.691303111544688,5,88.55698120282777
5,35,0,0,674.9381766850017,6362,191,4.114218436870276,9,154.17092207215427
15,127,1,16,1972.9555340691957,7918,924,7.225953577235415,6,125.44971814384373
17,12,0,0,1051.552381878296,3657,164,9.39598654045181,8,138.19562167988144
16,18,1,15,1081.4247180847115,7450,945,8.828871820826098,7,149.24680765462955
9,31,1,12,168.998004737897,2482,772,7.638230165337443,5,75.62571203700445
15,27,1,7,1917.4008241968054,5781,400,2.739942852861147,8,49.23017367699469
24,63,1,5,431.0435376803941,330,802,7.588669317179577,6,44.442229171526954
29,38,1,12,1122.847137739841,6554,186,6.722104653694273,4,39.73492412624145
