CPU_Cores,RAM_GB,GPU_Available,GPU_VRAM_GB,Disk_Speed_MBps,Dataset_Size_MB,Num_Features,Model_Complexity,CV_Folds,Training_Time_Seconds
8,95.14543643343912,1,48,4827.843456845121,4070.246223217375,1011,120.63327458066249,3,518.1700315456453
64,145.06179697585836,0,8,2404.15210532637,10419.221027332178,1899,147.19625022556966,10,1385.9009818799002
64,167.2491812329407,1,24,1764.8663251624944,11044.965274047516,1838,42.54204151535188,5,1285.9986654491502
16,110.83324409321058,0,48,2644.3711894275143,1726.7566477207497,1052,70.0239174722951,5,469.86520160620273
64,232.03026689078243,0,16,3669.34230785483,8148.649770375688,843,121.49525333663634,10,1315.9747463004528
64,97.96327997789179,1,48,103.3833249620415,10395.743181247824,1063,83.23174436429869,3,995.6783617004219
4,39.002683382281226,0,0,4447.337441386082,8459.571678637014,1247,53.88955571461565,3,1051.9993370621455
64,43.71704879682149,0,8,4443.178012423777,14011.955056450286,1449,24.60556254001362,3,1335.9037215294948
32,228.93268839791276,1,8,2752.3598746826733,15427.300636498487,938,84.70301597030281,5,1510.3115055296857
16,253.02599462629402,1,8,699.6559542604789,9205.286358973615,773,90.15971514865478,10,1246.977847328764
8,79.6565869417858,1,16,3391.848393606744,8513.251990789482,177,108.39143510433773,3,1107.558317046071
8,43.61347596236844,0,8,775.4437485202354,14107.302879355379,664,118.78833439939802,3,1792.70519760771
4,127.58864587553994,0,24,2586.9810420201356,11106.091647506562,1743,18.5981945610036,3,1359.5297727987527
8,183.96295976699628,0,16,558.7868627074733,17408.801888334718,365,94.56501405677632,3,1860.3170007238703
8,159.87592120953707,1,48,2986.420157657756,9622.97491367832,1397,117.43474733595706,3,1489.7609755308458
16,243.87482915648792,0,0,1658.539693078138,11486.59208069569,1369,58.961852674478855,10,1195.6407030838122
16,210.80891522496376,1,16,4171.857932213764,2576.1911822938523,94,42.059524087279115,5,152.5608391705781
32,223.50509693587253,1,0,4019.7360184212325,16719.961237174528,875,72.46866570137969,10,1983.9116717404581
4,142.33345539456943,1,16,4992.521989824761,8445.900404462885,1137,47.20290368250079,5,1057.9872871180235
8,89.16424794619961,1,48,1361.7655560513874,14381.293949457156,1151,76.9683679320551,5,1502.9610353251378
32,182.03053059422362,1,0,402.8253546199437,8589.712033347712,1071,46.96546844697382,10,884.3571552326013
4,116.88515390794599,0,16,2270.7159992293396,20.344493515538456,492,63.9825402617426,5,250.61516006058972
8,79.36305165945649,1,0,508.676341336197,8008.264964303016,490,137.35561071664458,5,1172.7817734587236
8,45.763130046729785,1,8,974.6486038222392,2950.129151351812,145,137.57423933756053,5,391.9454335237334
16,138.91280355661146,1,8,3026.770692671607,7972.36172452541,85,148.834659930223,5,990.4478559601531
64,155.37488466557986,1,8,3001.441171587063,6426.9466701591755,304,73.43238656289921,3,629.7593123924551
4,149.0588492982354,0,24,312.3046408754828,4051.0273187741595,325,26.037782568120793,10,92.6755609728574
8,36.903994131521394,0,8,2270.2332819495655,2475.529566115766,506,133.46496917053656,10,860.2589879208251
4,149.3568552456083,0,8,2698.071595049484,14571.251588865896,965,89.92964987662891,3,1743.5082216408575
32,49.76669848767497,1,48,1413.3187653179345,15097.230559963145,630,112.41029261097314,3,2002.607610508421
32,172.6011130319643,0,0,4373.011591189921,5300.0236045926285,1601,25.226534704473757,3,609.286550708243
64,114.48723117305228,0,0,889.3833734674673,9903.854975313907,1027,48.63502725055612,10,989.0969240124325
8,218.49956975931056,1,8,1344.1188445304506,9281.472542109877,27,42.00748545632679,3,847.3313728876328
16,201.00990470885714,1,0,869.2726336604898,7105.015896382931,1924,84.40367760788178,10,845.3223408682609
8,187.64674877612515,1,16,671.0785059657346,5552.815872216919,441,149.57911413720566,3,780.8840646133428
4,181.78280063490698,1,8,4406.998001634917,3720.716250459607,625,92.23995564712149,10,322.8774875707097
32,147.0010337905693,1,8,1461.5099088429113,17457.86511211085,158,86.3566952403169,5,1868.0065868517652
4,23.156166879829396,0,24,3640.3676953924955,16666.266421898123,449,114.10331364085745,3,1813.0619030206296
64,170.56142663618425,0,16,2197.113562653724,8343.646486793308,228,49.993461997137445,5,1136.3574048360856
32,123.79670003580138,0,8,3215.780055596192,14424.053010425361,1941,38.72550272757251,3,1734.049272029849
16,124.44956907039618,0,8,4648.063361243826,9966.691814776135,15,125.86858127803089,10,1218.1182683712336
32,101.99750447563488,0,0,4238.578548511922,1707.7567675280372,680,144.12218259595673,5,609.5275746232487
8,238.40958688074423,1,8,438.0333228591655,16447.827929810177,1643,63.78969614174817,5,1653.7713805928195
8,69.86391420420323,0,8,4241.492422868167,4385.50895312757,848,7.148409664948665,5,264.64087807572923
32,86.51542444562536,0,8,2313.9352248754158,14136.379532811794,1028,27.69494757216324,3,1512.0388859683192
64,246.83411411843443,0,8,1815.714061711438,10548.006558506828,904,128.69021753250377,3,1383.4610104957155
8,208.9181263486211,0,24,3394.700834761979,13810.83034229302,1284,19.125068493609557,3,1462.2867699450555
8,11.493430216391758,0,16,4756.018578186316,9424.11399417368,1094,114.6879265550555,5,1519.6001590015157
16,232.71468476574472,1,24,561.2639381818735,14051.252713424888,1512,93.41649829658341,10,1845.6627379013075
32,64.20853011060144,1,0,3863.577448226172,656.3477776464301,1919,109.2832248316592,5,608.9206974696515
8,183.07126971318374,0,48,1097.1893507139816,817.1546967243306,77,39.231991684243305,5,67.10777773623141
64,145.16213062706944,1,8,1962.6670018522943,17926.809670313673,1474,3.731160754021661,10,1982.7269082343755
4,141.12934713349043,0,0,4381.732779689924,14993.905350029547,262,6.923411282845312,10,1364.572596949477
32,186.04448820139436,0,48,2774.4160016604633,16569.367550906052,838,109.00260253065633,5,1783.0246609459978
16,59.38100502982105,1,8,430.53757495708874,9131.76207988759,893,92.39621754511207,5,1230.3517093575792
8,47.43823243007378,1,8,2589.437895670018,9192.991272971361,633,126.22751715839253,10,1072.603912995234
64,169.67432646977207,1,48,3969.245318042979,10680.127310617907,1562,60.48785340505803,5,1119.7012676850563
32,80.06364876835625,0,24,2691.514880051407,4873.316568992334,1702,83.77715099993158,5,844.2908174578679
64,249.5396514991247,0,48,917.7572709973562,14670.076619521376,1100,117.74235176849908,10,1639.3116636516365
64,119.97493609051901,0,48,2280.701267781906,16589.10512257087,1860,75.0009381833916,3,2096.529276900876
16,35.67606096172739,1,16,4629.292303394282,18144.491130698654,524,149.00892987850733,5,2116.5533874904627
32,178.08216121066707,1,8,3325.1995514611535,10340.725264125136,1911,111.69086599438255,5,1336.7445401176378
8,83.92750453160056,0,8,3676.4438818920876,8291.588656896265,1015,102.8132556179724,3,1147.4732152155975
16,44.849682050107745,1,24,3951.0888865023067,16618.681793574808,624,120.42829603509834,10,1951.3475627397904
8,112.86019399670039,1,24,544.3977785473405,15053.340334709488,164,116.80133976088614,3,1811.5703506659227
4,247.12712496564498,0,16,2949.529140422823,17345.477666861883,1546,33.73459201456048,5,1713.2442873766972
64,110.03478294400824,1,16,1941.9844466080096,13114.65557594243,1368,32.347207558134585,3,907.2095441222369
4,94.13877390130374,1,16,781.8799019932759,17666.277738126984,855,91.30506545720633,10,1754.6170571520802
64,118.23822259318743,0,24,1093.2768356897168,1780.9244167398208,397,65.97118276009616,5,254.64035599663015
16,11.004694988712794,0,48,3927.6863212511985,13591.26359755215,13,130.8649140420753,3,1726.3357727191972
8,41.009181572456285,0,8,891.2966159198867,1775.9928902355882,994,44.22524464525867,5,770.0551402762114
8,218.71930529738273,1,8,1630.8511753864248,14978.177975105964,389,50.298057534104636,10,1542.954065970006
16,250.5525341994394,0,0,1495.8793574890992,12568.914558271787,1748,25.78074852273072,3,1274.2109320980123
32,47.169488429712985,1,24,338.2887831813815,319.93883242937255,42,147.27955348760162,10,439.6417911429423
4,140.8084189599533,0,24,2364.576401272857,11985.259795370286,1044,18.29093341358947,5,1349.993478926756
4,247.6506915837996,0,16,3853.0562266291226,2925.681543192621,725,147.45209885217776,5,692.2690933679512
8,46.832181292383034,0,0,208.54790046960838,2848.314154439418,1752,106.25250693195959,10,582.4564265152815
8,54.204785140607655,1,0,651.502107351491,3009.3451868311904,1542,14.283556809603645,5,60.0
8,237.8504557742428,0,24,3628.9147300280824,9676.523662576625,194,23.6502929337254,10,1105.3257059319644
16,183.01053632019085,0,16,3008.5468542972767,2310.4935286120976,1187,49.718704170289406,10,423.4339518360731
32,45.687738336855865,1,8,3604.7133088385417,2513.20240347971,865,39.79156378145338,10,102.31023624885853
4,105.58618243741522,1,16,1227.5093788979789,5123.434105878917,1912,145.9961172776278,5,1036.1988435314106
64,21.954946165248217,0,8,4038.4670381572837,17.264390732822037,931,92.387969838539,10,424.12030156411856
16,115.30254041158815,0,24,2451.368194540356,5515.8677601706295,703,12.084102559156397,5,740.7750678211515
4,200.9195706327852,0,16,3090.4796734764,12368.193495263977,521,79.28528803599599,10,1383.4105239748244
32,145.38506953735956,1,0,551.5517442840976,12031.451054851252,676,134.67382913872058,5,1570.6652071251
16,168.56564621041838,1,48,1104.6547584631244,19390.676009928105,1261,63.01109115090123,3,1951.8777391389522
4,89.05139278565188,0,0,3889.45361989051,2392.68961658765,484,100.25345294526296,10,234.85929907617896
16,48.02618760070867,0,8,1197.1513618250146,17311.440072178437,111,116.20569451867942,3,1961.341427362068
4,11.252935591824134,0,24,553.3961548551474,7823.8560789557805,1727,28.56932470370445,3,636.4163346237691
4,211.68546139367766,0,16,3026.2960830352913,7740.787055604119,267,128.4696104087536,10,1060.81011791191
32,165.89033071775538,1,24,2784.8889291924907,6976.282791398511,1810,67.87435288885492,3,919.6367508112241
64,64.87166783934671,1,24,3078.6802520181354,2494.8181552060255,81,9.446601002440712,3,115.52540463041981
32,111.77162209916912,1,8,3129.696932179147,9570.15289147524,1532,131.95660464018357,10,1730.3366329085902
4,206.75793064457233,0,24,2550.966994736068,15747.580649143345,369,85.08862838714201,3,1650.6961618689545
16,141.59764615066365,0,16,2519.492210786413,17508.660599713246,893,30.54994092666476,10,1943.002487650774
32,82.43964935860262,1,0,4628.411269918366,19257.188876621443,1011,48.30005343564979,10,2081.0867540616664
64,74.26176025833,0,24,2716.0204519107274,15705.871184760479,1865,85.83657169361881,3,2030.0949479012947
4,61.96827806330875,1,16,3124.770991827908,12461.871803924814,1274,56.75193132897704,10,1402.3132331535394
32,212.2850102732741,0,16,1408.1500204998486,9950.725840741972,124,35.773924910190665,3,826.1490026646094
32,152.30136696979628,0,8,4368.356683930737,17497.957542302756,586,72.41724852944175,10,2051.0230422000573
32,183.87097709396315,0,24,219.40365402989957,14790.298185802523,1822,28.571813427580583,10,1367.8269232799016
32,221.30986946655852,1,8,2830.411135259095,3225.247393612686,1443,37.561496902516595,10,342.6171772718102
16,252.74170222749362,0,0,1980.8664464707324,13651.041600874853,1688,124.1833734124337,3,1604.9245035149268
64,69.87192945963392,0,0,3059.130558246337,8620.828854740445,1460,35.05264188844626,5,931.057001235125
64,52.86381688956241,1,16,1864.843043879763,11916.033968468553,1762,104.60975022890608,3,1427.659769036562
4,122.57558901289921,0,24,3616.67076741647,17967.0718410402,1712,38.32000216784191,10,1917.4559998079142
8,16.69767731067606,0,16,199.62407056981098,13051.44571762321,1561,32.647356655014576,3,1485.48167686605
16,204.34603462775502,1,24,2088.8582499688005,18774.491831097086,556,38.42217784993222,10,1887.3195265444658
4,227.17247971092678,0,8,4173.191638737828,17327.40686831399,1824,70.77639712630892,5,2071.504410909037
4,178.13784528951103,1,0,1325.9835171192358,2578.112133143839,1173,22.795671503582632,5,214.6274847569584
32,74.46276609177512,0,0,358.4793040635778,233.13711038770043,1985,16.885268250738996,3,60.0
8,38.542557549220064,0,8,2532.967965369326,7688.289731836763,1785,113.7543579718996,3,871.9211623050226
8,102.77175860413232,1,48,4885.0139565812715,17306.613234175347,317,4.471949012192754,5,1688.1632879202152
16,214.66723388530284,0,48,414.37695152216963,4602.596841604105,796,58.43714293369099,3,813.8423429613421
8,94.26129533895644,1,48,443.2768144739872,13828.029297997731,1899,60.009127765748495,10,1632.477861019242
4,16.49513425940671,0,24,3016.071168238723,9519.959784923292,1991,134.06316015541074,10,1273.3330466280927
8,76.02153330383271,1,8,1325.3317931028328,14921.580600805295,401,116.39917406319225,3,1748.514646381251
