CPU_Cores,RAM_GB,GPU_Available,GPU_VRAM_GB,Disk_Speed_MBps,Dataset_Size_MB,Num_Features,Model_Complexity,CV_Folds,Training_Time_Seconds
16,91.77940568236941,1,24,1741.2783831594545,2865.2311632937835,410,7.658810439403632,5,324.3506115793546
32,72.33156396129445,1,16,1646.7916919820764,8026.41299151368,37,8.101205600933207,10,811.1801717790371
4,45.14331395435933,1,16,1360.2934271833599,9972.379137141032,946,2.0719588228904464,3,1052.4149682731922
16,105.65540236483385,1,16,1934.0707154178997,300.3085519936617,971,2.264924151959886,10,69.47326933907219
16,90.16774070646551,0,24,800.7117732926042,8973.66378961603,546,3.5782636397012526,3,930.0282696021535
32,27.514032721386954,0,8,663.8963154644321,6226.324204459901,67,5.66269448677805,5,624.6075195487581
4,117.31126213926109,1,24,1780.9429504331333,9733.827522517253,507,7.732144690294621,3,1003.6911847442849
4,106.70446915078028,0,8,1158.7247249506224,4650.1219247884,306,8.52877801684813,5,504.9632792331159
16,121.97598959503088,1,24,1770.4532813105907,8473.886936317209,143,7.3390178436146245,5,867.1290404124574
8,95.08634100660319,0,24,1839.6353077931224,623.9875662793424,340,9.357371933775745,3,96.46166468177613
16,81.60982351229478,1,8,593.6863904286072,3352.823736830454,258,7.6486915865433724,3,365.39968989140925
16,58.189164354874265,1,16,1825.197144479091,670.2120266852121,559,3.7564109830415324,5,95.29280829027235
16,119.92741800248159,0,8,1172.4785830541332,9753.432567634032,911,3.3857315590471533,10,1040.9486713020995
16,111.927666740049,0,0,1265.6487335063484,8169.748224023005,950,7.265732052709809,3,853.1684372852393
32,13.426240412742729,1,0,1439.8887666398155,8525.481585088643,84,2.7358351182065284,5,858.2993285503272
4,11.16403693967024,1,8,1889.5739100951303,9379.65541607737,663,1.834433297292429,5,993.829364549877
32,53.17560402536595,0,24,528.674141644646,851.0806060235476,843,5.790005873705745,10,138.48605083636556
32,105.26639969381995,0,0,1215.2652024767258,3856.0066452537085,177,8.394774128010598,3,381.5805732817354
32,126.47313551779334,1,0,1531.583063645841,710.3953386955691,780,1.9124185822287718,5,132.112126542845
16,26.050026932423382,0,24,1584.0604365473428,2107.970475845209,512,8.127021914161563,10,262.28566494010374
8,79.29568584225622,1,24,1538.798647305662,2293.696302087872,894,8.304148039163934,5,289.99989629416564
4,53.706902795722584,1,16,701.6526941121828,4691.098655115235,364,5.340466000733892,3,482.190125753841
8,124.38972773775238,1,24,949.0933825575219,2685.6582464280536,234,1.5157927900943813,10,292.4077874130551
32,109.05427077628504,1,8,1038.0732881255203,1009.8260192722701,673,2.571308661224678,5,139.12313942971682
32,108.59944456533654,0,8,1706.6558115192574,1674.9525163866224,540,7.366836476457391,10,203.24660173946413
8,64.24317917539643,0,16,918.1398086218296,1472.7982717427317,155,7.406001504918545,3,159.43365888432814
8,57.77834028051982,0,0,816.0574458008048,9730.769325283087,969,9.085197476508988,10,1031.8369301183816
8,40.80884863168475,0,0,1936.1720285571444,7592.937104559391,250,6.244175318991245,3,777.5367308117304
32,14.765059598111254,0,24,513.2949276702034,9677.616264622357,893,2.1169663094239963,5,1025.4774728715852
32,111.76668515060639,0,8,1996.7312835229673,4397.43287805476,902,2.092734149544749,3,474.87953197921735
4,105.5481210956093,0,0,1515.2319482860935,2783.720898202483,353,7.4901912162114135,5,326.7563301511162
4,127.96612079433567,1,16,1742.7039491736757,7982.9420574320075,758,2.6540619859711105,5,824.0147761691873
32,127.59642044886864,0,16,941.9290945192897,3262.572867715566,44,3.955469496549448,3,322.93698883825476
8,74.6518046723153,0,8,521.4729165005899,2993.868767884798,711,5.384908062297225,5,337.57274768937
8,100.27848982166125,1,16,1606.804277842295,2325.0982967787018,10,1.2228838981853607,10,242.95630034345956
