CPU_Cores,RAM_GB,GPU_Available,GPU_VRAM_GB,Disk_Speed_MBps,Dataset_Size_MB,Num_Features,Model_Complexity,CV_Folds,Training_Time_Seconds
8,95.14543643343912,1,48,4827.843456845121,4070.246223217375,1011,120.63327458066249,3,6064.667852105802
64,145.06179697585836,0,8,2404.15210532637,10419.221027332178,1899,147.19625022556966,10,3600.0
64,167.2491812329407,1,24,1764.8663251624944,11044.965274047516,1838,42.54204151535188,5,3600.0
16,110.83324409321058,0,48,2644.3711894275143,1726.7566477207497,1052,70.0239174722951,5,3600.0
64,232.03026689078243,0,16,3669.34230785483,8148.649770375688,843,121.49525333663634,10,3600.0
64,97.96327997789179,1,48,103.3833249620415,10395.743181247824,1063,83.23174436429869,3,3600.0
4,39.002683382281226,0,0,4447.337441386082,8459.571678637014,1247,53.88955571461565,3,3600.0
64,43.71704879682149,0,8,4443.178012423777,14011.955056450286,1449,24.60556254001362,3,3600.0
32,228.93268839791276,1,8,2752.3598746826733,15427.300636498487,938,84.70301597030281,5,3600.0
16,253.02599462629402,1,8,699.6559542604789,9205.286358973615,773,90.15971514865478,10,8544.695585459707
8,79.6565869417858,1,16,3391.848393606744,8513.251990789482,177,108.39143510433773,3,4793.120826404478
8,43.61347596236844,0,8,775.4437485202354,14107.302879355379,664,118.78833439939802,3,5020.329997705168
4,127.58864587553994,0,24,2586.9810420201356,11106.091647506562,1743,18.5981945610036,3,3600.0
8,183.96295976699628,0,16,558.7868627074733,17408.801888334718,365,94.56501405677632,3,5121.666053626259
8,159.87592120953707,1,48,2986.420157657756,9622.97491367832,1397,117.43474733595706,3,3600.0
16,243.87482915648792,0,0,1658.539693078138,11486.59208069569,1369,58.961852674478855,10,3600.0
16,210.80891522496376,1,16,4171.857932213764,2576.1911822938523,94,42.059524087279115,5,3906.9001192322553
32,223.50509693587253,1,0,4019.7360184212325,16719.961237174528,875,72.46866570137969,10,3600.0
4,142.33345539456943,1,16,4992.521989824761,8445.900404462885,1137,47.20290368250079,5,3600.0
8,89.16424794619961,1,48,1361.7655560513874,14381.293949457156,1151,76.9683679320551,5,5212.731653365539
32,182.03053059422362,1,0,402.8253546199437,8589.712033347712,1071,46.96546844697382,10,3600.0
4,116.88515390794599,0,16,2270.7159992293396,20.344493515538456,492,63.9825402617426,5,3600.0
8,79.36305165945649,1,0,508.676341336197,8008.264964303016,490,137.35561071664458,5,3600.0
8,45.763130046729785,1,8,974.6486038222392,2950.129151351812,145,137.57423933756053,5,3600.0
16,138.91280355661146,1,8,3026.770692671607,7972.36172452541,85,148.834659930223,5,3600.0
64,155.37488466557986,1,8,3001.441171587063,6426.9466701591755,304,73.43238656289921,3,3600.0
4,149.0588492982354,0,24,312.3046408754828,4051.0273187741595,325,26.037782568120793,10,3600.0
8,36.903994131521394,0,8,2270.2332819495655,2475.529566115766,506,133.46496917053656,10,3600.0
4,149.3568552456083,0,8,2698.071595049484,14571.251588865896,965,89.92964987662891,3,3600.0
32,49.76669848767497,1,48,1413.3187653179345,15097.230559963145,630,112.41029261097314,3,3600.0
32,172.6011130319643,0,0,4373.011591189921,5300.0236045926285,1601,25.226534704473757,3,6154.737684506522
64,114.48723117305228,0,0,889.3833734674673,9903.854975313907,1027,48.63502725055612,10,5829.009488628471
8,218.49956975931056,1,8,1344.1188445304506,9281.472542109877,27,42.00748545632679,3,8230.765568521678
16,201.00990470885714,1,0,869.2726336604898,7105.015896382931,1924,84.40367760788178,10,3600.0
8,187.64674877612515,1,16,671.0785059657346,5552.815872216919,441,149.57911413720566,3,5343.238777885116
4,181.78280063490698,1,8,4406.998001634917,3720.716250459607,625,92.23995564712149,10,3600.0
32,147.0010337905693,1,8,1461.5099088429113,17457.86511211085,158,86.3566952403169,5,3600.0
4,23.156166879829396,0,24,3640.3676953924955,16666.266421898123,449,114.10331364085745,3,8637.003415705693
64,170.56142663618425,0,16,2197.113562653724,8343.646486793308,228,49.993461997137445,5,5848.320932236816
32,123.79670003580138,0,8,3215.780055596192,14424.053010425361,1941,38.72550272757251,3,10723.962194541575
16,124.44956907039618,0,8,4648.063361243826,9966.691814776135,15,125.86858127803089,10,3600.0
