CPU_Cores,RAM_GB,GPU_Available,GPU_VRAM_GB,Disk_Speed_MBps,Dataset_Size_MB,Num_Features,Model_Complexity,CV_Folds,Training_Time_Seconds
8,205.48758309344444,1,8,2725.8060361083817,14808.300198590956,1369,56.737979080839665,3,157415.58429739586
64,144.26760423480872,0,8,2714.4340766586847,17814.988960902454,595,79.77805320492706,5,179504.4785805483
4,180.01462481112893,0,0,3512.7466489712538,589.3145768643022,1104,87.26131177858096,3,107175.08986679469
4,39.26464423673448,0,0,3880.7573268701453,13258.489413789064,1603,90.62867060517954,10,179346.16432446608
4,81.71773742642704,1,0,1218.6509955169613,2740.436843569499,670,9.555129560684726,3,22531.260423047024
4,11.30029990444518,0,24,2754.5719067578584,8780.65123595399,1701,12.754360807764721,3,77443.07951593405
8,158.39884920713328,1,0,1984.978010206067,10091.902377419543,300,9.992612406413485,10,82271.47972522148
8,31.150489506184822,0,8,3192.311561198429,10856.93601340311,128,76.47542022068018,5,147269.8648806461
4,220.86170023735036,0,12,4318.597352844183,18405.4230950626,143,140.44982256981638,5,240369.2287945267
16,63.38872302422312,0,8,872.008345274852,15501.945404702648,535,75.30903763581651,3,155668.01722511396
8,155.4453970656098,0,8,4549.0724976479,4511.505529920959,205,3.4344794732354442,10,37271.13886716044
4,75.00731348919855,1,4,2768.0350174773694,9975.10939823323,1278,141.1995032349166,3,207807.58294098772
16,113.24473231094164,1,0,1883.3055250576083,4228.24673075043,300,99.68704916477824,5,130536.67738769829
32,244.34653731679526,1,0,3067.3598852106275,1134.3729357865705,1983,145.15394306701393,3,180578.40289068283
16,218.45427189609617,0,0,120.34253847141017,15078.225338386594,1171,29.6423261706232,3,123478.6578913315
32,61.2677474307017,0,0,4476.155436941711,13010.203910743105,59,55.902492668182475,3,127425.84996813719
16,34.675701760990194,1,0,2304.4008470892245,280.3173951123409,1146,113.03409244256646,5,133246.94248837946
16,236.1884221938476,1,0,2267.0436765344853,3527.4784719141385,537,82.19684000651898,5,110388.89978486045
32,139.99818576933907,1,24,2360.527140934631,4909.423858786475,1234,11.18826906349397,5,55719.27173128853
8,193.89677087378632,0,0,752.6346192619678,19133.247474348416,622,72.98984826550226,3,174151.57408673447
16,17.82343446118513,1,0,2224.3222999894933,11710.13175730142,1052,141.1376727150727,5,217173.62212090264
16,170.80081946071252,0,0,1264.9857564219167,1341.0925128446456,687,6.108791993878017,5,23124.23560510764
32,164.63214764272425,1,8,1188.0142086731757,9438.741316250722,1844,30.92660601701254,10,106917.66984121865
16,179.19773786910548,1,4,3184.955499373427,15041.511610986327,1786,59.93159625663641,5,152713.54183951166
32,66.24786926610972,0,0,913.5236856052355,16250.969659402874,126,48.90645294528254,3,136480.04116425972
4,40.639762894761155,0,0,3448.8515012080657,9398.996318922867,1117,58.81769007585625,10,130948.01528593317
8,213.04981302680096,0,8,4284.657875787211,2904.129676845921,45,83.90047393297439,5,107332.06527577584
32,10.508880108311729,0,0,1105.7473307058203,4713.219255603347,729,60.31336391261575,5,95868.70121942874
8,38.686623906048666,0,4,3311.065486671827,3050.4735130841377,98,57.50133989947625,5,82197.15901844992
32,16.19924172133451,1,8,3763.6640027291287,10760.041167474901,1983,31.7456871848768,7,106996.4674180846
4,149.3625760370721,0,12,1483.5268141539902,10843.235395442442,1726,127.90985968519522,10,215619.94614325074
16,103.56433999277428,0,24,3799.621985560029,4649.925915261881,528,10.466096166067429,5,42732.25212049403
8,255.28869024578478,0,0,884.1712734818663,9427.220359939529,1909,47.933929682282766,3,121459.69115463823
8,37.77345243020806,1,4,2608.6510094777823,10650.66298030479,428,95.254092204399,5,155548.6654963163
16,221.20600779698455,1,0,4693.958401371473,5337.172189825849,941,100.78275593434499,3,141987.5763352404
4,240.56762874951963,1,0,4016.692747487759,16631.32848455461,213,88.28653728097468,10,181441.41132237294
16,136.44706279376655,1,8,762.2949736301612,10484.308388387068,259,142.59526510893303,5,205001.88496895094
16,152.48912523911613,0,0,2931.4020477141084,17709.91166567686,82,146.491927024741,5,244928.6162237032
4,224.0105748116322,0,8,1541.7401753781844,3495.4720102803885,1727,26.559944437164795,3,67910.183139279
8,15.849043314093173,1,8,1363.584022493461,11758.409187001429,911,42.89931507636275,5,120981.78306591709
8,37.62303338424326,0,8,992.2147724953138,8731.67429928302,216,83.93474689385289,5,129756.66351899791
8,220.7075010109066,0,0,3436.678015726399,10164.347518146877,1215,98.53230846806942,5,175469.45104325202
16,193.14131336169032,0,8,3359.251488384804,7737.7311928467425,742,145.77758284172694,3,200922.3390901551
4,97.86853570624535,0,8,1072.364716467524,7647.00851020567,724,45.89107180553548,5,94752.74514580003
8,191.001550785208,0,0,1152.7591647477498,6103.5757154853645,784,148.14918169779196,5,184173.09039883228
8,143.20374771145777,0,4,308.97943605930226,5060.618888866822,1448,53.988020323369035,3,98009.69988174787
16,124.42381610207674,0,24,3898.852650302893,17895.7576290529,804,22.925826941716508,3,137162.70643087983
4,109.21814519433603,0,48,4899.4975099396115,9892.168016954996,1869,67.68974228993905,7,143495.92930208068
16,241.22203844912406,1,0,3218.608000258765,13211.354561473587,1531,141.71183004068524,5,225354.38142114744
16,95.82822772693021,0,4,333.0263690937089,5029.1892618064785,721,99.5084255328891,5,130000.8963499256
16,172.15973495304556,1,4,1327.394581825702,19749.47139428424,1258,14.16268379446762,3,129881.92080665394
16,56.120715852429896,0,0,4601.474022048745,12573.723216581513,399,79.14203150267262,5,147633.99682963322
4,239.16365147706662,0,4,3260.9087193850705,1073.4096115304158,744,22.5701389726362,3,36774.853397352555
32,12.092341903904853,1,4,4540.256167526003,8132.911623393368,593,54.64000984256641,5,109759.40709236654
4,129.0745727445347,0,4,2772.612487754628,3476.4133490664894,91,124.02740759333957,7,143850.23148066748
8,159.1128402937797,0,8,1184.2455306731267,7649.56393476276,1272,16.166297496175126,5,75181.51490226202
8,190.74503043658453,0,8,1438.250817649748,19169.901966604775,639,16.40774291619357,3,130339.4277979991
4,113.18877471082958,0,4,4103.05746871287,12467.456739945888,917,33.563281997701964,3,104326.9291762667
8,105.93274817564081,1,8,4554.008197760336,17580.191961229488,1287,104.59820900234199,3,203492.1515680533
32,189.07187277512725,0,48,3914.5433232979285,12005.505906863451,1445,6.109433165394234,3,95236.82051987405
32,55.778675627401846,1,4,2829.9772150451827,6632.329707452313,407,120.17193865861208,7,163507.01530474322
4,149.4476603382918,1,0,3972.1092999216066,16472.162716162453,1406,128.78217963833674,3,227032.3247975175
16,92.62178154911285,1,0,3891.48333289616,7410.547230212946,131,135.07998740026642,5,179322.31700842327
4,212.9046094427604,0,4,1896.2530066090546,2541.0229137343977,1489,12.010348766778483,3,51234.16981526795
16,14.395171485350545,1,8,4585.682339630992,12475.4527118124,1925,109.52213218786979,3,199542.48703020456
16,26.74003934159683,1,12,2635.119953506761,5327.909072548103,1736,103.76434304496141,3,150168.8766127525
16,152.7496183089005,0,0,186.17912776924456,14752.552795476717,675,128.56563151619213,5,216847.57089496378
16,206.14052937699054,0,8,3671.859057504377,12721.574399998539,1066,56.888202987575035,7,147366.9239028754
16,199.9758714018431,0,0,4195.109814652264,9254.981045040588,155,109.92713935504871,5,164689.41102259536
32,9.733221557307349,0,0,3494.572482031705,172.61279153860562,1132,117.07808413632041,10,142261.90775723735
16,59.33178297547027,0,4,303.9254789840669,12428.511864582779,928,91.59603770853938,3,170137.80138748663
16,44.593332045883464,0,12,3007.045429720323,17564.715769910963,1111,99.24897548861583,7,206635.94783953895
4,182.33492891891643,1,12,2041.1534997518347,9978.417657130307,1866,56.63403826218452,3,129498.57027078285
8,68.09049018088331,0,0,293.3802265246313,17205.457814315978,707,36.940757568370664,5,129838.44086261986
64,79.2007968786294,0,0,1902.490149442376,9741.697992048048,1670,136.12492841329603,5,209259.58560490792
8,138.33435508069974,0,12,4081.7133200395906,3011.2039999829485,227,85.36630161060603,5,109520.47449365022
32,108.07261909569392,0,0,2352.401478164718,12143.366413250093,1549,20.168288099769633,7,96172.60334317212
4,191.64170170077065,0,8,2364.026291764984,13813.721569205429,105,9.89428782118637,5,83804.40516381754
4,128.47203958727715,0,8,1587.2602520187609,3119.995739301802,10,37.42253929258027,7,60619.74914638643
4,235.7014700123177,0,8,2346.3748648170213,10768.803197345673,627,85.97561881680899,7,157539.64441404506
64,32.37795831262213,0,24,1091.1058301555577,16870.2047444398,670,66.35901442087234,3,167649.81633448775
64,134.3982590740789,1,48,3040.3447048033313,9399.884574051082,563,97.1980837142447,5,161129.78442637713
16,44.932400419608406,0,12,3692.136926290992,7278.059868824282,1170,128.16511057282986,5,182336.6465498525
64,228.77750578206727,0,4,4319.649464711277,16024.962324007798,1034,47.49173544069119,3,152137.0116783322
4,254.81857016008013,1,0,3173.699143771437,3664.609088770724,808,56.9130444073301,5,93592.1894726961
64,48.58530389847071,0,8,3756.6529190465835,14698.984077132307,936,14.753008803751625,5,103012.22248193192
4,52.36961865005763,1,4,2986.801837120486,18708.605232245063,1013,75.46392987537357,5,180578.12711194265
4,98.36305166465257,1,0,3094.060585806674,19217.317557092065,535,69.58406552859725,5,170146.0963765129
8,207.21171345574328,1,0,1409.496908942404,12937.476301896435,171,139.10669788015923,3,196171.39363764023
4,96.25454806593038,1,8,281.96274836170096,6810.124268809425,1369,46.477979378741864,5,88440.2778950719
